matrix,time(cublas),flop(scl),byte(cublas)
../matrix_large/t3dh_a.mtx,0.000072289000000,61.299450815476767,398.462394001853681
../matrix_large/cfd1.mtx,0.000041709000000,45.530221295164111,320.614064110863353
../matrix_large/SiO2.mtx,0.000149354000000,76.588735487499491,488.652972133320816
../matrix_large/rail_79841.mtx,0.000021725000000,29.172013808975834,277.934361334867674
../matrix_large/nd24k.mtx,0.000393648000000,73.130395683453230,443.903710929561385
../matrix_large/nd12k.mtx,0.000203634000000,70.012601039119204,425.025683333824418
../matrix_large/F2.mtx,0.000085505000000,62.754107946903687,399.940167241681763
../matrix_large/human_gene1.mtx,0.000316603000000,77.990183289482403,469.911794897710990
../matrix_large/mouse_gene.mtx,0.000385117000000,75.333968638102192,455.282898443849547
../matrix_large/lhr71.mtx,0.000055975000000,54.599088878963819,362.762304600268010
../matrix_large/lhr71.mtx,0.000055975000000,54.599088878963819,362.762304600268010
../matrix_large/crankseg_1.mtx,0.000152519000000,69.938919085490994,429.327493623745227
../matrix_large/crankseg_2.mtx,0.000196238000000,72.425809476248233,443.663531018457149
