matrix,time(cublas),flop(scl),byte(cublas)
../matrix_large/t3dh_a.mtx,0.000122594000000,36.145945152291297,237.541282607631672
../matrix_large/cfd1.mtx,0.000057604000000,32.966807860565240,237.051593639330605
../matrix_large/cfd1.mtx,0.000057604000000,32.966807860565240,237.051593639330605
../matrix_large/rail_79841.mtx,0.000035505000000,17.849936628643853,179.059062103929023
../matrix_large/nd24k.mtx,0.000664466000000,43.324465059160296,263.414248434080946
../matrix_large/nd12k.mtx,0.000428673000000,33.258325110282193,202.237332418883398
../matrix_large/F2.mtx,0.000124079000000,43.244948782630416,277.910911596644041
../matrix_large/F2.mtx,0.000124079000000,43.244948782630416,277.910911596644041
../matrix_large/F2.mtx,0.000124079000000,43.244948782630416,277.910911596644041
../matrix_large/lhr71.mtx,0.000094589000000,32.310141771241902,217.645180729260289
../matrix_large/lhr71.mtx,0.000094589000000,32.310141771241902,217.645180729260289
../matrix_large/lhr71.mtx,0.000094589000000,32.310141771241902,217.645180729260289
../matrix_large/lhr71.mtx,0.000094589000000,32.310141771241902,217.645180729260289
