matrix,time(scl),time(vec),time(cublas),flop(vec),flop(cublas),flop(scl),byte(scl),byte(vec),byte(cublas)
../matrix_large/t3dh_a.mtx,0.000156379000000,0.000068939000000,0.000066509000000,28.336771561398912,64.278216974426670,66.626712174292209,184.196394656571528,417.825149770086625,433.090980168097587
../matrix_large/cfd1.mtx,0.000059839000000,0.000050095000000,0.000041509000000,31.735490232122864,37.908374089230463,45.749596473054041,223.474523304199579,266.942648966962793,322.158857115324395
../matrix_large/SiO2.mtx,0.000807911000000,0.000134724000000,0.000300183000000,14.158532313584045,84.905688667201090,38.106201883517720,90.334549226338041,541.716962085448813,243.125946505964720
../matrix_large/rail_79841.mtx,0.000020700000000,0.000038895000000,0.000022640000000,30.616521739130437,16.294176629386811,27.993021201413431,291.696811594202927,155.241650597763226,266.701590106007075
../matrix_large/nd24k.mtx,0.001566126000000,0.000238688000000,0.000337678000000,18.381429080418819,120.607797627027750,85.251730938941833,111.575829786364579,732.092974929615252,517.480582092999839
../matrix_large/nd12k.mtx,0.000469612000000,0.000127764000000,0.000176218000000,30.358989974702517,111.588131241977408,80.905162923197409,184.300401182252585,677.418365110672880,491.151187733375650
../matrix_large/F2.mtx,0.000211704000000,0.000074364000000,0.000087375000000,25.345718550428902,72.155747404658172,61.411044349070103,161.531591278388703,459.858049593889518,391.380646638054372
../matrix_large/human_gene1.mtx,0.001696830000000,0.000221284000000,0.000298979000000,14.551797174731705,111.584777932430725,82.587492767050520,87.678485175297453,672.328247862475337,497.611818890289953
../matrix_large/mouse_gene.mtx,0.001449811000000,0.000261289000000,0.000327623000000,20.011154557387133,111.035642526091792,88.554197965344315,120.937959499548555,671.046940361056159,535.179715709825018
../matrix_large/lhr71.mtx,0.000093974000000,0.000061394000000,0.000050439000000,32.521591078383381,49.779848193634550,60.591685005650383,216.077000021282458,330.742743590578868,402.577767203949293
../matrix_large/dense,0.017897279000000,0.005563987000000,0.006360582000000,44.699532258507013,143.781788131424463,125.774653954622394,268.228483447120652,862.791376759147738,754.735966614375798
../matrix_large/crankseg_1.mtx,0.000736521000000,0.000104404000000,0.000203668000000,14.482973330020462,102.170549021110304,52.374521279729763,88.905272218986298,627.184782192253124,321.506569515093190
../matrix_large/crankseg_2.mtx,0.000985099000000,0.000131794000000,0.000260478000000,14.427682902936661,107.840235519067647,54.563901749859873,88.380603370828723,660.604003217142008,334.245671419467271
