matrix,time(cublas),flop(scl),byte(cublas)
../matrix_large/t3dh_a.mtx,0.000083109000000,53.318846334332015,350.396900456027595
../matrix_large/cfd1.mtx,0.000044330000000,42.838258515677872,308.033385968869879
../matrix_large/cfd1.mtx,0.000044330000000,42.838258515677872,308.033385968869879
../matrix_large/rail_79841.mtx,0.000025940000000,24.431842713955284,245.084502698535090
../matrix_large/nd24k.mtx,0.000543802000000,52.937712623344524,321.863126652715493
../matrix_large/nd12k.mtx,0.000285389000000,49.956186117895228,303.773740403449324
../matrix_large/nd12k.mtx,0.000285389000000,49.956186117895228,303.773740403449324
../matrix_large/nd12k.mtx,0.000285389000000,49.956186117895228,303.773740403449324
../matrix_large/nd12k.mtx,0.000285389000000,49.956186117895228,303.773740403449324
../matrix_large/lhr71.mtx,0.000063955000000,47.786474865139560,321.895707919631036
../matrix_large/lhr71.mtx,0.000063955000000,47.786474865139560,321.895707919631036
../matrix_large/lhr71.mtx,0.000063955000000,47.786474865139560,321.895707919631036
../matrix_large/lhr71.mtx,0.000063955000000,47.786474865139560,321.895707919631036
