matrix,time,time(cublas),flop,flop(cublas),byte,byte(cublas)
../matrix/nos5.mtx,0.005,0.024,1.128,0.235,6.0104,1.25217
../matrix/1138_bus.mtx,0.013,0.023,0.399385,0.225739,2.99846,1.69478
../matrix/494_bus.mtx,0.021,0.024,0.102857,0.09,0.788,0.6895
../matrix/662_bus.mtx,0.006,0.025,0.522667,0.12544,3.85667,0.9256
../matrix/bcspwr02.mtx,0.014,0.029,0.0154286,0.00744828,0.118,0.0569655
../matrix/bcsstk10.mtx,0.014,0.041,1.654,0.56478,7.85743,2.68302
../matrix/bcsstm08.mtx,0.008,0.032,0.2685,0.067125,3.2225,0.805625
../matrix/cavity02.mtx,0.004,0.031,3.6635,0.47271,15.923,2.05458
../matrix/cdde4.mtx,0.004,0.033,2.3405,0.283697,13.207,1.60085
../matrix/dw2048.mtx,0.006,0.047,3.37133,0.430383,18.9473,2.41881
../matrix/e05r0000.mtx,0.005,0.03,2.3424,0.3904,10.1256,1.6876
../matrix/gr_30_30.mtx,0.006,0.023,1.44067,0.375826,8.16333,2.12957
../matrix/bcsstm27.mtx,0.005,0.023,11.47,2.49348,49.7976,10.8256
../matrix/ck656.mtx,0.014,0.023,0.554857,0.337739,2.96943,1.80748
../matrix/cry2500.mtx,0.005,0.048,4.9396,0.514542,27.7592,2.89158
../matrix/e20r2000.mtx,0.007,0.036,37.5874,7.30867,160.044,31.1197
../matrix/fs_760_3.mtx,0.005,0.029,2.3904,0.412138,11.9944,2.068
../matrix/impcol_d.mtx,0.005,0.029,0.5356,0.0923448,3.5032,0.604
../matrix/rdb450l.mtx,0.006,0.046,0.86,0.112174,4.64067,0.605304
../matrix/west0989.mtx,0.005,0.024,1.4148,0.29475,8.8248,1.8385
../matrix/zenios.mtx,0.005,0.029,6.0128,1.03669,33.2456,5.732
