matrix,time,time(cublas),flop,flop(cublas),byte,byte(cublas)
../matrix/nos5.mtx,0.005,0.051,1.128,0.110588,6.0104,0.589255
../matrix/1138_bus.mtx,0.01,0.021,0.5192,0.247238,3.898,1.85619
../matrix/494_bus.mtx,0.011,0.027,0.196364,0.08,1.50436,0.612889
../matrix/662_bus.mtx,0.005,0.044,0.6272,0.0712727,4.628,0.525909
../matrix/bcspwr02.mtx,0.011,0.029,0.0196364,0.00744828,0.150182,0.0569655
../matrix/bcsstk10.mtx,0.006,0.024,3.85933,0.964833,18.334,4.5835
../matrix/bcsstm08.mtx,0.005,0.029,0.4296,0.074069,5.156,0.888966
../matrix/cavity02.mtx,0.004,0.035,3.6635,0.418686,15.923,1.81977
../matrix/cdde4.mtx,0.005,0.046,1.8724,0.203522,10.5656,1.14843
../matrix/dw2048.mtx,0.006,0.039,3.37133,0.518667,18.9473,2.91497
../matrix/e05r0000.mtx,0.006,0.032,1.952,0.366,8.438,1.58213
../matrix/gr_30_30.mtx,0.005,0.045,1.7288,0.192089,9.796,1.08844
../matrix/bcsstm27.mtx,0.011,0.035,5.21364,1.63857,22.6353,7.11394
../matrix/ck656.mtx,0.005,0.024,1.5536,0.323667,8.3144,1.73217
../matrix/cry2500.mtx,0.014,0.021,1.76414,1.1761,9.914,6.60933
../matrix/e20r2000.mtx,0.008,0.025,32.889,10.5245,140.038,44.8123
../matrix/fs_760_3.mtx,0.005,0.025,2.3904,0.47808,11.9944,2.39888
../matrix/impcol_d.mtx,0.005,0.035,0.5356,0.0765143,3.5032,0.500457
../matrix/rdb450l.mtx,0.006,0.049,0.86,0.105306,4.64067,0.568245
../matrix/west0989.mtx,0.011,0.028,0.643091,0.252643,4.01127,1.57586
../matrix/zenios.mtx,0.014,0.022,2.14743,1.36655,11.8734,7.55582
