matrix,time,time(cublas),flop,flop(cublas),byte,byte(cublas)
../matrix/nos5.mtx,0.024,0.025,0.235,0.2256,1.25217,1.20208
../matrix/1138_bus.mtx,0.005,0.022,1.0384,0.236,7.796,1.77182
../matrix/494_bus.mtx,0.006,0.041,0.36,0.0526829,2.758,0.40361
../matrix/662_bus.mtx,0.005,0.025,0.6272,0.12544,4.628,0.9256
../matrix/bcspwr02.mtx,0.01,0.046,0.0216,0.00469565,0.1652,0.035913
../matrix/bcsstk10.mtx,0.005,0.094,4.6312,0.24634,22.0008,1.17026
../matrix/bcsstm08.mtx,0.01,0.026,0.2148,0.0826154,2.578,0.991538
../matrix/cavity02.mtx,0.01,0.037,1.4654,0.396054,6.3692,1.72141
../matrix/cdde4.mtx,0.006,0.033,1.56033,0.283697,8.80467,1.60085
../matrix/dw2048.mtx,0.006,0.024,3.37133,0.842833,18.9473,4.73683
../matrix/e05r0000.mtx,0.014,0.023,0.836571,0.509217,3.61629,2.20122
../matrix/gr_30_30.mtx,0.005,0.034,1.7288,0.254235,9.796,1.44059
../matrix/bcsstm27.mtx,0.006,0.048,9.55833,1.19479,41.498,5.18725
../matrix/ck656.mtx,0.005,0.032,1.5536,0.24275,8.3144,1.29913
../matrix/cry2500.mtx,0.012,0.031,2.05817,0.79671,11.5663,4.47729
../matrix/e20r2000.mtx,0.014,0.028,18.7937,9.39686,80.022,40.011
../matrix/fs_760_3.mtx,0.005,0.031,2.3904,0.385548,11.9944,1.93458
../matrix/impcol_d.mtx,0.005,0.021,0.5356,0.127524,3.5032,0.834095
../matrix/rdb450l.mtx,0.004,0.026,1.29,0.198462,6.961,1.07092
../matrix/west0989.mtx,0.005,0.027,1.4148,0.262,8.8248,1.63422
../matrix/zenios.mtx,0.012,0.035,2.50533,0.858971,13.8523,4.74937
