matrix,time,time(cublas),flop,flop(cublas),byte,byte(cublas)
../matrix/nos5.mtx,0.006,0.046,0.94,0.122609,5.00867,0.653304
../matrix/1138_bus.mtx,0.006,0.034,0.865333,0.152706,6.49667,1.14647
../matrix/494_bus.mtx,0.005,0.023,0.432,0.093913,3.3096,0.719478
../matrix/662_bus.mtx,0.005,0.035,0.6272,0.0896,4.628,0.661143
../matrix/bcspwr02.mtx,0.014,0.025,0.0154286,0.00864,0.118,0.06608
../matrix/bcsstk10.mtx,0.013,0.023,1.78123,1.00678,8.46185,4.78278
../matrix/bcsstm08.mtx,0.005,0.02,0.4296,0.1074,5.156,1.289
../matrix/cavity02.mtx,0.005,0.024,2.9308,0.610583,12.7384,2.65383
../matrix/cdde4.mtx,0.005,0.026,1.8724,0.360077,10.5656,2.03185
../matrix/dw2048.mtx,0.014,0.036,1.44486,0.561889,8.12029,3.15789
../matrix/e05r0000.mtx,0.014,0.034,0.836571,0.344471,3.61629,1.48906
../matrix/gr_30_30.mtx,0.005,0.023,1.7288,0.375826,9.796,2.12957
../matrix/bcsstm27.mtx,0.005,0.026,11.47,2.20577,49.7976,9.57646
../matrix/ck656.mtx,0.015,0.022,0.517867,0.353091,2.77147,1.88964
../matrix/cry2500.mtx,0.013,0.027,1.89985,0.914741,10.6766,5.14059
../matrix/e20r2000.mtx,0.013,0.03,20.2394,8.7704,86.1775,37.3436
../matrix/fs_760_3.mtx,0.01,0.035,1.1952,0.341486,5.9972,1.71349
../matrix/impcol_d.mtx,0.005,0.032,0.5356,0.0836875,3.5032,0.547375
../matrix/rdb450l.mtx,0.006,0.045,0.86,0.114667,4.64067,0.618756
../matrix/west0989.mtx,0.011,0.031,0.643091,0.228194,4.01127,1.42335
../matrix/zenios.mtx,0.004,0.024,7.516,1.25267,41.557,6.92617
